position,color,type,Answer.condition,block_trial,trial,utterance_label,block,clicked,utterance,workerid,init_images,Answer.bonus,label,Answer.time_in_minutes,quantifier,percentage
1,orange,25_60_1,some,1,13,color,2,0, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,60
2,blue,25_60_1,some,1,13,color,2,1, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,25
1,blue,90_0_2,some,2,14,prior,2,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,2,14,prior,2,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,blue,90_0_2,some,2,14,quantifier,2,1, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,2,14,quantifier,2,0, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,blue,90_0_2,some,2,14,color,2,1, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,2,14,color,2,0, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,orange,25_60_2,some,3,15,prior,2,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,25
2,blue,25_60_2,some,3,15,prior,2,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,60
1,orange,25_60_2,some,3,15,quantifier,2,0, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,25
2,blue,25_60_2,some,3,15,quantifier,2,1, The machine dispensed some of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,60
1,orange,25_60_2,some,3,15,color,2,0, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,some,25
2,blue,25_60_2,some,3,15,color,2,1, The machine dispensed some of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,some,60
1,orange,75_100_2,some,4,16,prior,2,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
2,blue,75_100_2,some,4,16,prior,2,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,75
1,orange,75_100_2,some,4,16,quantifier,2,1, The machine dispensed all of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
2,blue,75_100_2,some,4,16,quantifier,2,0, The machine dispensed all of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,75
1,orange,75_100_2,some,4,16,color,2,1, The machine dispensed all of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,all,100
